bigg_id	mnx_id	smiles	formula	charge
oh1	MNXM02	[H][O-]	HO	-1.0
biggM:M_oh1	MNXM02	[H][O-]	HO	-1.0
biggM:oh1	MNXM02	[H][O-]	HO	-1.0
h	MNXM1	[H+]	H	1.0
biggM:M_h	MNXM1	[H+]	H	1.0
biggM:h	MNXM1	[H+]	H	1.0
nadh	MNXM10	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	C21H27N7O14P2	-2.0
biggM:M_nadh	MNXM10	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	C21H27N7O14P2	-2.0
biggM:nadh	MNXM10	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	C21H27N7O14P2	-2.0
grdp	MNXM100	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	C10H17O7P2	-3.0
biggM:M_grdp	MNXM100	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	C10H17O7P2	-3.0
biggM:grdp	MNXM100	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	C10H17O7P2	-3.0
mercplaccys	MNXM10053	N[C@@H](CSSCC(O)C(=O)O)C(=O)O	C6H11NO5S2	0.0
biggM:M_mercplaccys	MNXM10053	N[C@@H](CSSCC(O)C(=O)O)C(=O)O	C6H11NO5S2	0.0
biggM:mercplaccys	MNXM10053	N[C@@H](CSSCC(O)C(=O)O)C(=O)O	C6H11NO5S2	0.0
CE2176	MNXM10073	COC1=C(O)C=CC(C[C@H]([NH3+])C(=O)[O-])=C1	C10H13NO4	0.0
biggM:CE2176	MNXM10073	COC1=C(O)C=CC(C[C@H]([NH3+])C(=O)[O-])=C1	C10H13NO4	0.0
biggM:M_CE2176	MNXM10073	COC1=C(O)C=CC(C[C@H]([NH3+])C(=O)[O-])=C1	C10H13NO4	0.0
12dgr_SC	MNXM1012	null	null	null
biggM:12dgr_SC	MNXM1012	null	null	null
biggM:M_12dgr_SC	MNXM1012	null	null	null
triodthy	MNXM1013	[NH3+][C@@H](CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)[O-]	C15H12I3NO4	0.0
biggM:M_triodthy	MNXM1013	[NH3+][C@@H](CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)[O-]	C15H12I3NO4	0.0
biggM:triodthy	MNXM1013	[NH3+][C@@H](CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)[O-]	C15H12I3NO4	0.0
4hdebrisoquine	MNXM10135	N=C(N)N1CC2=C(C=CC=C2)C(O)C1	C10H13N3O	0.0
biggM:4hdebrisoquine	MNXM10135	N=C(N)N1CC2=C(C=CC=C2)C(O)C1	C10H13N3O	0.0
biggM:M_4hdebrisoquine	MNXM10135	N=C(N)N1CC2=C(C=CC=C2)C(O)C1	C10H13N3O	0.0
4mtolbutamide	MNXM10136	CCCCNC(=O)NS(=O)(=O)C1=CC=C(CO)C=C1	C12H18N2O4S	0.0
biggM:4mtolbutamide	MNXM10136	CCCCNC(=O)NS(=O)(=O)C1=CC=C(CO)C=C1	C12H18N2O4S	0.0
biggM:M_4mtolbutamide	MNXM10136	CCCCNC(=O)NS(=O)(=O)C1=CC=C(CO)C=C1	C12H18N2O4S	0.0
CN0010	MNXM10149	OC1=C(O)C2=CC3=C(C=CC=C3)C3=CC=C4C=CC=C1C4=C23	C20H12O2	0.0
biggM:CN0010	MNXM10149	OC1=C(O)C2=CC3=C(C=CC=C3)C3=CC=C4C=CC=C1C4=C23	C20H12O2	0.0
biggM:M_CN0010	MNXM10149	OC1=C(O)C2=CC3=C(C=CC=C3)C3=CC=C4C=CC=C1C4=C23	C20H12O2	0.0
btal	MNXM1017	CCCC=O	C4H8O	0.0
biggM:M_btal	MNXM1017	CCCC=O	C4H8O	0.0
biggM:btal	MNXM1017	CCCC=O	C4H8O	0.0
abt__D	MNXM1018	OC[C@@H](O)C(O)[C@H](O)CO	C5H12O5	0.0
biggM:M_abt__D	MNXM1018	OC[C@@H](O)C(O)[C@H](O)CO	C5H12O5	0.0
biggM:abt__D	MNXM1018	OC[C@@H](O)C(O)[C@H](O)CO	C5H12O5	0.0
dtbt	MNXM1020	C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)[O-]	C10H17N2O3	-1.0
biggM:M_dtbt	MNXM1020	C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)[O-]	C10H17N2O3	-1.0
biggM:dtbt	MNXM1020	C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)[O-]	C10H17N2O3	-1.0
glutar	MNXM1021	O=C([O-])CCCC(=O)[O-]	C5H6O4	-2.0
biggM:M_glutar	MNXM1021	O=C([O-])CCCC(=O)[O-]	C5H6O4	-2.0
biggM:glutar	MNXM1021	O=C([O-])CCCC(=O)[O-]	C5H6O4	-2.0
CE2153	MNXM102111	OC1=CC=C2NC3=C(CCNC3)C2=C1	C11H12N2O	0.0
biggM:CE2153	MNXM102111	OC1=CC=C2NC3=C(CCNC3)C2=C1	C11H12N2O	0.0
biggM:M_CE2153	MNXM102111	OC1=CC=C2NC3=C(CCNC3)C2=C1	C11H12N2O	0.0
lpam	MNXM1024	NC(=O)CCCC[C@@H]1CCSS1	C8H15NOS2	0.0
biggM:M_lpam	MNXM1024	NC(=O)CCCC[C@@H]1CCSS1	C8H15NOS2	0.0
biggM:lpam	MNXM1024	NC(=O)CCCC[C@@H]1CCSS1	C8H15NOS2	0.0
5homeprazole	MNXM10267	COC1=CC2=C(C=C1)NC(S(=O)CC1=NC=C(CO)C(OC)=C1C)=N2	C17H19N3O4S	0.0
biggM:5homeprazole	MNXM10267	COC1=CC2=C(C=C1)NC(S(=O)CC1=NC=C(CO)C(OC)=C1C)=N2	C17H19N3O4S	0.0
biggM:M_5homeprazole	MNXM10267	COC1=CC2=C(C=C1)NC(S(=O)CC1=NC=C(CO)C(OC)=C1C)=N2	C17H19N3O4S	0.0
tartr__M	MNXM1031	O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]	C4H4O6	-2.0
biggM:M_tartr__M	MNXM1031	O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]	C4H4O6	-2.0
biggM:tartr__M	MNXM1031	O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]	C4H4O6	-2.0
5g2oxpt	MNXM1037	NC(=[NH2+])NCCCC(=O)C(=O)[O-]	C6H11N3O3	0.0
biggM:5g2oxpt	MNXM1037	NC(=[NH2+])NCCCC(=O)C(=O)[O-]	C6H11N3O3	0.0
biggM:M_5g2oxpt	MNXM1037	NC(=[NH2+])NCCCC(=O)C(=O)[O-]	C6H11N3O3	0.0
uchol	MNXM10417	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	C24H39O5	-1.0
biggM:M_uchol	MNXM10417	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	C24H39O5	-1.0
biggM:uchol	MNXM10417	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	C24H39O5	-1.0
dca	MNXM1043	CCCCCCCCCC(=O)[O-]	C10H19O2	-1.0
biggM:M_dca	MNXM1043	CCCCCCCCCC(=O)[O-]	C10H19O2	-1.0
biggM:dca	MNXM1043	CCCCCCCCCC(=O)[O-]	C10H19O2	-1.0
mana	MNXM1045	O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	C6H11O7	-1.0
biggM:M_mana	MNXM1045	O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	C6H11O7	-1.0
biggM:mana	MNXM1045	O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	C6H11O7	-1.0
CN0011	MNXM10462	OC1=C(O)C2=C(C=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34	C20H12O2	0.0
biggM:CN0011	MNXM10462	OC1=C(O)C2=C(C=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34	C20H12O2	0.0
biggM:M_CN0011	MNXM10462	OC1=C(O)C2=C(C=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34	C20H12O2	0.0
gcarote	MNXM1048	CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	C40H56	0.0
biggM:M_gcarote	MNXM1048	CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	C40H56	0.0
biggM:gcarote	MNXM1048	CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	C40H56	0.0
5hoxindact	MNXM1057	O=CCC1=CNC2=CC=C(O)C=C12	C10H9NO2	0.0
biggM:5hoxindact	MNXM1057	O=CCC1=CNC2=CC=C(O)C=C12	C10H9NO2	0.0
biggM:M_5hoxindact	MNXM1057	O=CCC1=CNC2=CC=C(O)C=C12	C10H9NO2	0.0
Ac1PIM4	MNXM10580	null	null	null
biggM:Ac1PIM4	MNXM10580	null	null	null
biggM:M_Ac1PIM4	MNXM10580	null	null	null
acg5sa	MNXM1062	CC(=O)N[C@@H](CCC=O)C(=O)[O-]	C7H10NO4	-1.0
biggM:M_acg5sa	MNXM1062	CC(=O)N[C@@H](CCC=O)C(=O)[O-]	C7H10NO4	-1.0
biggM:acg5sa	MNXM1062	CC(=O)N[C@@H](CCC=O)C(=O)[O-]	C7H10NO4	-1.0
CE2957	MNXM10629	CC(/C=C/C1=C(CO)CCCC1(C)C)=C\C=C\C(C)=C\C(=O)[O-]	C20H27O3	-1.0
biggM:CE2957	MNXM10629	CC(/C=C/C1=C(CO)CCCC1(C)C)=C\C=C\C(C)=C\C(=O)[O-]	C20H27O3	-1.0
biggM:M_CE2957	MNXM10629	CC(/C=C/C1=C(CO)CCCC1(C)C)=C\C=C\C(C)=C\C(=O)[O-]	C20H27O3	-1.0
3mcat	MNXM1064	CC1=CC=CC(O)=C1O	C7H8O2	0.0
biggM:3mcat	MNXM1064	CC1=CC=CC(O)=C1O	C7H8O2	0.0
